compound_id	pert_id	smiles	SAFE
nifurtimox	BRD-A00100033	CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1	CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1
hemado	BRD-A00267231	CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1	CCCCC#Cc1nc4c2ncn6c2n1.C16OC5C(O)C1O.N4C.C5O
AF-DX-116	BRD-A00520476	CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21	N13c2ccccc2C(=O)Nc2cccnc21.C18CCCCN17.C7C3=O.N456.CC4.C5C.C68
noretynodrel	BRD-A00758722	C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C	C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C
alprenolol	BRD-A00993607	C=CCc1ccccc1OCC(O)CNC(C)C	c16ccccc13.C2C(O)C4.C=CC6.C5(C)C.O23.N45
zebularine	BRD-A01145011	O=c1ncccn1C1OC(CO)C(O)C1O	C13OC2C(O)C1O.O=c1ncccn13.C2O
7-hydroxy-PIPAT	BRD-A01295252	CCCN(CC=CI)C1CCc2ccc(O)cc2C1	C15CCc2ccc(O)cc2C1.C4C=CI.CCC3.N345
7,8-dihydro-L-biopterin	BRD-A01317026	CC(O)C(O)C1=Nc2c(nc(N)[nH]c2=O)NC1	CC(O)C(O)C1=Nc2c(nc(N)[nH]c2=O)NC1
salmeterol	BRD-A01320529	OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O	c17cc8ccc1O.C6CCCCC3.c19ccccc1.C4CCC9.C8(O)C5.OC7.N56.O34
flumetasone	BRD-A01346607	CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C15O.C5(=O)CO
chlormadinone-acetate	BRD-A01593789	CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C	C167CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C.CC5=O.C7(C)=O.O56
prednisolone-acetate	BRD-A01643550	CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C	C17(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C.C6C7=O.CC5=O.O56
naftopidil	BRD-A01787639	COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1	c16cccc2ccccc12.c15ccccc18.N18CCN7CC1.C7C(O)C4.CO5.O46
xanthinol	BRD-A01826957	CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	n15cnc2c1c(=O)n(C)c(=O)n2C.C4C(O)C5.CN34.C3CO
tubaic-acid	BRD-A02176148	C=C(C)C1Cc2c(ccc(C(=O)O)c2O)O1	C=C(C)C1Cc2c(ccc3c2O)O1.C3(=O)O
betamethasone	BRD-A02180903	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C15O.C5(=O)CO
met-leu-phe	BRD-A02189320	CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O	C4(CC(C)C)C3=O.C6CC(N)C2=O.C5(C7)C(=O)O.c17ccccc1.CS6.N24.N35
cyclopamine	BRD-A02333338	CC1=C2CC3C(CC=C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C	CC1=C2CC3C(CC=C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C
ethinyl-estradiol	BRD-A02367930	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
importazole	BRD-A02481876	CC(Nc1nc(N2CCCC2)nc2ccccc12)c1ccccc1	c14nc5nc2ccccc12.c16ccccc1.N15CCCC1.CC36.N34
meptazinol	BRD-A02710418	CCC1(c2cccc(O)c2)CCCCN(C)C1	C134CCCCN(C)C1.c14cccc(O)c1.CC3
dihydrodeoxygedunin	BRD-A02713983	CC(=O)OC1CC2C(C)(C)C(=O)CCC2(C)C2CCC3(C)C(=CC(=O)OC3c3ccoc3)C12C	C15CC2C(C)(C)C(=O)CCC2(C)C2CCC3(C)C(=CC(=O)OC36)C12C.c16ccoc1.CC4=O.O45
betaxolol	BRD-A02759312	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	c16ccc%10cc1.C8C(O)C3.CC7C.C%10C4.C19CC1.N78.O36.O45.C59
lofexidine	BRD-A02990301	CC(Oc1c(Cl)cccc1Cl)C1=NCCN1	c13c(Cl)cccc1Cl.CC2C1=NCCN1.O23
mepivacaine	BRD-A03216249	Cc1cccc(C)c1NC(=O)C1CCCCN1C	Cc1cccc(C)c13.C14CCCCN1C.C24=O.N23
ICI-89406	BRD-A03359064	N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1	N#Cc1ccccc15.c19ccccc1.C4C(O)C6.C7C8.C23=O.O45.N67.N28.N39
metoprolol	BRD-A03623303	COCCc1ccc(OCC(O)CNC(C)C)cc1	c17ccc4cc1.C3C(O)C5.C2C7.C6(C)C.CO2.O34.N56
CP-55940	BRD-A03816571	CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1	CCCCCCC4(C)C.c14ccc5c(O)c1.C15CC(O)CCC13.C3CCO
genipin	BRD-A04308630	COC(=O)C1=COC(O)C2C(CO)=CCC12	C3(=O)C1=COC(O)C2C(CO)=CCC12.CO3
synephrine	BRD-A04327189	CNCC(O)c1ccc(O)cc1	c13ccc(O)cc1.C2C3O.CN2
