method	compound_subset	n_compounds	ppi_alpha	ppi_threshold	median_auroc	n_targets	notes
proj_raw	known_246	246	0.5	0.3	0.5593	480	PPI-propagated zero-shot (comprehensive pipeline)
proj_cos	known_246	246	0.5	0.3	0.5515	480	PPI-propagated zero-shot (comprehensive pipeline)
cb_pa_cos	known_246	246	0.5	0.3	0.5219	480	PPI-propagated zero-shot (comprehensive pipeline)
cb_pa_raw	known_246	246	0.5	0.3	0.5181	480	PPI-propagated zero-shot (comprehensive pipeline)
cb_tok_raw	known_246	246	0.5	0.3	0.5124	480	PPI-propagated zero-shot (comprehensive pipeline)
cb_tok_cos	known_246	246	0.5	0.3	0.5124	480	PPI-propagated zero-shot (comprehensive pipeline)
xgb_per_target	known_246	246	NA	NA	0.4979	273	supervised XGBoost per target (comprehensive pipeline)
proj_raw	all	1674	0.7	0.0	0.5279	735	best single config (final push)
proj_raw	all	1674	0.5	0.0	0.5273	735	PPI-propagated zero-shot (final push)
proj_raw	all	1674	0.5	0.3	0.5267	735	PPI-propagated zero-shot (final push)
proj_raw	all	1674	NA	NA	0.5240	735	raw scores, no PPI (final push)
proj_cos	all	1674	0.7	0.0	0.5236	735	PPI-propagated zero-shot (final push)
proj_cos	all	1674	NA	NA	0.5202	735	raw scores, no PPI (final push)
rank_ensemble	all	1674	0.5	0.3	0.5231	735	average ranks across CG matrices (final push)
score_ensemble	all	1674	0.5	0.3	0.5242	735	z-scored average across CG matrices (final push)
oracle_best	all	1674	varies	varies	0.5597	735	best config per target (upper bound)
xgb_per_target	all	1674	NA	NA	0.5209	735	supervised XGBoost per target (comprehensive pipeline)
Beaini_Boltz2	known_246	246	NA	NA	0.5390	NA	Beaini et al. reported value
